Date,Open_PT,Volume_PT,Open_TH,Volume_TH,COVID_ND,COVID_NC,COVID_TV
8/11/2021,112.239998,28600,147.729996,2014000,603,144557,1532528
8/12/2021,114.040001,37400,144,1951300,997,152321,1533082
8/13/2021,112.290001,19500,145,1340300,1186,147291,1530263
8/16/2021,111.610001,27900,143.029999,2435100,853,109461,1281467
8/17/2021,110.949997,93400,137,2165400,1203,150821,1608149
8/18/2021,111.010002,32900,139.550003,1371900,1495,167896,1705682
8/19/2021,107.669998,63100,137.660004,2133400,1365,175683,1652495
8/20/2021,107.849998,44400,136,2251700,1570,167489,1545203
8/23/2021,110.260002,44100,140.789993,2189000,1130,116530,1322690
8/24/2021,110.93,79700,145.509995,1224200,1665,163469,1811375
8/25/2021,112.129997,52800,145,945100,1653,178070,1955843
8/26/2021,111.559998,53800,144.970001,1350900,1765,187242,1962525
8/27/2021,112.860001,59100,141.550003,1390800,1813,182967,1893631
8/30/2021,117.790001,52600,143.490005,1452300,1209,133441,1459915
8/31/2021,118.059998,60500,144.300003,1752800,1760,176982,1973699
9/1/2021,117.879997,38400,144.860001,1699900,1995,198857,2039752
9/2/2021,119.099998,41200,145.850006,1123900,2021,182206,1971705
9/3/2021,118.120003,27500,146,1171600,1939,183554,1869625
9/7/2021,116.349998,34300,144.970001,1826000,1468,117784,1406532
9/8/2021,114.949997,90600,143.199997,1577200,2074,169955,2045903
9/9/2021,115.68,32500,139.690002,1516800,2250,184629,2070318
9/10/2021,114.910004,44300,143.070007,1522000,2252,171780,2069063
9/13/2021,113.809998,34500,142.5,2206000,1293,112366,1493714
9/14/2021,113.860001,39700,137.809998,4071900,2433,162469,1891131
9/15/2021,111.620003,44400,133.110001,2286000,2397,163137,2129555
9/16/2021,112.309998,43100,133,1988000,2082,167550,2016444
9/17/2021,113.690002,160000,136.580002,5573400,2295,157901,1921434
9/20/2021,113.699997,71400,139.190002,2676600,1292,92528,1390468
9/21/2021,111.82,50500,136.5,2550100,2334,135075,1930274
9/22/2021,112.57,34200,139.479996,1856800,2298,132569,2067162
9/23/2021,112.07,39400,140,1558100,2061,136325,2000335
9/24/2021,112.660004,63800,138.389999,2662800,2400,133299,1919278
9/27/2021,116.459999,56400,133.5,1806200,1472,101754,1232720
9/28/2021,119.529999,67600,133.100006,2735300,2130,116618,1879456
9/29/2021,115.849998,45800,130.029999,2466500,2206,116575,2016439
9/30/2021,114.82,71500,126,2196700,1930,122980,1936915
10/1/2021,111.290001,78400,125.5,1965100,2150,121206,1830049
10/4/2021,111.239998,66600,125.110001,2923300,1227,86113,1276493
10/5/2021,112.260002,60800,122.400002,2057100,2054,104390,1847892
10/6/2021,109.050003,39500,121.93,1923900,1988,106948,1981099
10/7/2021,109.849998,51200,128.610001,3074900,1733,112541,1904541
10/8/2021,109.75,21700,131.619995,1847800,2235,107815,1788882
10/11/2021,107.949997,39400,130.830002,1878300,909,74224,1157371
10/12/2021,106.019997,40500,129.5,1511300,1944,89593,1660178
10/13/2021,106.269997,22700,132.550003,1924900,1780,96047,1863047
10/14/2021,106.32,51400,138.130005,2232700,1558,96506,1881597
10/15/2021,106.599998,40700,137.089996,2166500,1984,90777,1717841
10/18/2021,104,42700,135.160004,1573800,1257,69277,1233800
10/19/2021,106.019997,31300,136.949997,4279100,1845,80505,1719809
10/20/2021,106.889999,35700,140.509995,1961500,1752,76167,1883471
10/21/2021,107.82,45100,140,1664100,1534,87269,1839807
10/22/2021,107.120003,32200,139.860001,1504400,1875,81443,1616903
10/25/2021,106.059998,28500,137.360001,2172500,992,84080,1158505
10/26/2021,104.82,47100,143.259995,2981300,2017,102038,1681813
10/27/2021,103.040001,42900,140.619995,2899600,1707,83835,1802305
10/28/2021,102.949997,123900,131,9788400,1277,81675,1692455
10/29/2021,104.959999,48100,148.25,3600400,1737,88251,1555285
11/1/2021,108.040001,77000,149.509995,2406800,1141,109678,1059576
11/2/2021,110.440002,83200,151.440002,2494400,1433,74280,1640731
11/3/2021,107.889999,135400,146.759995,3132500,1444,78884,1894717
